2018-08-24 09:25:52.966 AM	****** Start Logging ******
2018-08-24 09:25:52.977 AM	doWork	--------Start----------
2018-09-13 09:55:48.889 AM	doWork	--------Start----------
2018-09-13 09:56:16.298 AM	doWork	Sorry, we couldn't find C:\Work\vb2013\BOne\BusinessOne\BusinessOne\bin\x64\Debug\templates\ExcelTemplate.xltx. Is it possible it was moved, renamed or deleted?
2018-09-13 09:57:41.188 AM	doWork	Sorry, we couldn't find C:\Work\vb2013\BOne\BusinessOne\BusinessOne\bin\x64\Debug\templates\ExcelTemplate.xltx. Is it possible it was moved, renamed or deleted?
2019-04-24 10:02:53.644 AM	doWork	--------Start----------
2019-04-24 10:03:06.180 AM	doWork	Generate HK Report.
2019-04-24 10:03:14.989 AM	doWork	SalesExtract
2019-04-24 10:10:07.885 AM	doWork	--------Start----------
2019-04-24 10:10:17.528 AM	doWork	Generate HK Report.
2019-04-24 10:10:42.468 AM	doWork	SalesExtract
