2018-06-08 05:51:04.427 PM	****** Start Logging ******
2018-06-08 05:51:04.441 PM	doWork	--------Start----------
2018-06-08 05:51:18.717 PM	doWork	Generate HK Report.
2018-06-14 09:44:41.839 AM	doWork	--------Start----------
2018-06-14 09:44:51.861 AM	doWork	Generate HK Report.
2018-06-14 09:46:56.809 AM	doWork	--------Start----------
2018-06-14 09:47:00.486 AM	doWork	Generate HK Report.
2018-06-19 09:44:15.255 AM	doWork	--------Start----------
2018-07-03 11:12:38.308 AM	doWork	--------Start----------
2018-07-03 11:12:54.389 AM	doWork	Generate HK Report.
2018-07-31 02:31:12.837 PM	doWork	--------Start----------
2018-07-31 02:31:24.714 PM	doWork	Generate HK Report.
2018-08-01 09:23:25.576 AM	doWork	--------Start----------
2018-08-01 09:23:35.370 AM	doWork	Generate HK Report.
2018-08-01 10:03:35.481 AM	doWork	--------Start----------
2018-08-14 03:16:32.633 PM	doWork	--------Start----------
2018-08-14 03:16:45.187 PM	doWork	Generate HK Report.
2018-09-06 02:10:32.140 PM	doWork	--------Start----------
2018-09-06 02:10:38.280 PM	doWork	Generate HK Report.
